,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
77,2026/01/25,CHI,3,Josh Giddey,PT23M35.80S,4,10,8,0,0,5,0,0.166666666666667,0.25,0.0,0,2,1,4,2,2,-5.0
78,2026/01/25,CHI,44,Patrick Williams,PT16M03.00S,10,0,1,0,0,0,2,0.8,1.0,0.666666666666666,2,3,2,2,0,0,-7.0
79,2026/01/25,LAL,23,LeBron James,PT36M34.20S,17,5,8,1,1,1,2,0.5,0.538461538461538,0.333333333333333,1,3,7,13,0,0,-8.0
80,2026/01/25,LAL,12,Jake LaRavia,PT30M28.00S,13,1,6,0,1,4,4,0.5,1.0,0.333333333333333,2,6,2,2,3,4,12.0
81,2026/01/25,LAL,5,Deandre Ayton,PT23M45.20S,9,0,11,0,1,1,4,0.25,0.25,0.0,0,0,4,16,1,2,-12.0
82,2026/01/25,LAL,36,Marcus Smart,PT32M01.20S,13,3,7,0,2,3,3,0.4,0.333333333333333,0.5,2,4,2,6,3,5,-2.0
83,2026/01/25,LAL,77,Luka Dončić,PT39M08.80S,33,11,8,1,1,5,2,0.533333333333333,0.714285714285714,0.375,3,8,5,7,14,15,18.0
84,2026/01/25,LAL,7,Gabe Vincent,PT15M23.80S,0,1,1,2,0,0,1,0.0,0.0,0.0,0,2,0,0,0,0,8.0
85,2026/01/25,LAL,11,Jaxson Hayes,PT14M36.80S,6,1,1,0,1,0,2,1.0,1.0,0.0,0,0,3,3,0,0,1.0
86,2026/01/25,LAL,28,Rui Hachimura,PT27M08.00S,17,1,8,0,1,0,1,0.461538461538462,0.333333333333333,0.5714285714285711,4,7,2,6,1,1,21.0
87,2026/01/25,LAL,2,Jarred Vanderbilt,PT12M29.00S,8,2,4,1,0,0,1,0.5,0.333333333333333,0.666666666666666,2,3,1,3,0,2,-4.0
